Model,SQuAD 1.1 F1,MNLI Acc,ELI5 PPL,XSum PPL,ConvA12 PPL,CNN/DM PPL
"BERT Base (Devlin et al., 2019)",88.5,84.3,,-,,
Masked Language Model,90.0,83.5,24.77,7.87,12.59,7.06
Masked Seq2seq,87.0,82.1,23.4,6.80,11.43,6.19
Language Model,76.7,80.1,21.4,7.00,11.51,6.56
Permuted Language Model,89.1,83.7,24.03,7.69,12.23,6.96
Multitask Masked Language Model,89.2,82.4,23.73,7.50,12.39,6.74
w/ Token Masking,90.4,84.1,25.05,7.08,11.73,6.1
w/ Token Deletion,90.4,84.1,24.61,6.90,11.46,5.87
w/ Text Infilling,90.8,84.0,24.26,6.61,11.05,5.83
w/ Document Rotation,77.2,75.3,53.69,17.14,19.87,10.59
w/ Sentence Shuffling,85.4,81.5,41.87,10.93,16.67,7.89
w/ Text Infilling + Sentence Shuffling,90.8,83.8,24.17,6.62,11.12,5.41
